model,dataset,task,subgroup,group,n_train_total,n_test,timestamp,hyperparameters,cv_n_runs,source_dir,has_diagnostics,accuracy,accuracy_cv_std,balanced_accuracy,balanced_accuracy_cv_std,precision,precision_cv_std,recall,recall_cv_std,f1,f1_cv_std,f2,f2_cv_std,roc_auc,roc_auc_cv_std,mcc,mcc_cv_std,mae,qwk,exact_match_rate,within_1_rate,mean_signed_error,underestimate_rate,overestimate_rate,clinical_risk_score,mcc_scaled,primary_rank,robust_score,robust_rank,robust_metrics_used
catboost,tree,binary,all,binary / all,736,184,2026-07-15T20:12:40.704897+00:00,"{""depth"": 4, ""iterations"": 400, ""l2_leaf_reg"": 3, ""learning_rate"": 0.01}",25,results\catboost__tree__binary__all,False,0.7934782608695652,0.03196873194429043,0.7838354854136776,0.03253916887379089,0.7807017543859649,0.03220305211184479,0.8725490196078431,0.037008517648799075,0.8240740740740741,0.028952027911640678,0.8524904214559387,0.03262405814157714,0.8882113821138211,0.020205457594410087,0.5811687482745117,0.0649576770096438,,,,,,,,,0.7905843741372558,1.0,0.42614820430246586,4.0,"balanced_accuracy, mcc, f1"
lightgbm,tree,binary,all,binary / all,736,184,2026-07-15T20:12:48.672344+00:00,"{""learning_rate"": 0.01, ""min_child_samples"": 20, ""n_estimators"": 400, ""num_leaves"": 15}",25,results\lightgbm__tree__binary__all,False,0.7717391304347826,0.02828372912912568,0.7666188426590148,0.029364202421678396,0.7830188679245284,0.03574453282052363,0.8137254901960784,0.036051494376696636,0.7980769230769231,0.025503118775335374,0.8073929961089494,0.029755251324992026,0.8607125777140124,0.022667356007566582,0.536324470496557,0.05819386791290206,,,,,,,,,0.7681622352482784,6.0,0.0,6.0,"balanced_accuracy, mcc, f1"
logistic,linear,binary,all,binary / all,736,184,2026-07-15T20:12:49.940421+00:00,"{""C"": 0.1, ""class_weight"": ""balanced"", ""l1_ratio"": 0.0, ""solver"": ""lbfgs""}",25,results\logistic__linear__binary__all,False,0.8260869565217391,0.02299124703832834,0.8240076518412243,0.02387559491567469,0.8431372549019608,0.03255345452244949,0.8431372549019608,0.03248379962243255,0.8431372549019608,0.021044588665446798,0.8431372549019608,0.02611753282201158,0.8841463414634146,0.020268762670170914,0.6480153036824486,0.04775681621036091,,,,,,,,,0.8240076518412243,2.0,1.0,1.0,"balanced_accuracy, mcc, f1"
random_forest,tree,binary,all,binary / all,736,184,2026-07-15T20:12:58.499067+00:00,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",25,results\random_forest__tree__binary__all,False,0.8206521739130435,0.026892567387658262,0.8179100908656145,0.026999064455838395,0.8349514563106796,0.028174222891764005,0.8431372549019608,0.03489289036958453,0.8390243902439024,0.025306315701051102,0.8414872798434442,0.030116658296089782,0.8827116212338594,0.02303865715197298,0.6366198840097675,0.05438279123977651,,,,,,,,,0.8183099420048838,4.0,0.9001496419919729,2.0,"balanced_accuracy, mcc, f1"
svm,linear,binary,all,binary / all,736,184,2026-07-15T20:13:27.431810+00:00,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""auto"", ""kernel"": ""rbf""}",25,results\svm__linear__binary__all,False,0.8152173913043478,0.027208150953681245,0.8082257293161167,0.028177763503888485,0.8090909090909091,0.030216330971159996,0.8725490196078431,0.02891305641736571,0.839622641509434,0.023739676531657723,0.859073359073359,0.02546795033374208,0.8836681013868962,0.01962451105081657,0.6248757833031275,0.05564212583048486,,,,,,,,,0.8124378916515638,3.0,0.813275767714643,3.0,"balanced_accuracy, mcc, f1"
xgboost,tree,binary,all,binary / all,736,184,2026-07-15T20:13:38.155328+00:00,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}",25,results\xgboost__tree__binary__all,False,0.7880434782608695,0.02712577002023904,0.783715925394548,0.02794747465245823,0.8,0.03117531389226582,0.8235294117647058,0.03280088862104798,0.8115942028985508,0.024461576339161375,0.8187134502923976,0.027896321165192254,0.8745815399330463,0.02065409249892067,0.5697869872428026,0.05535727917939974,,,,,,,,,0.7848934936214014,5.0,0.29916598856546445,5.0,"balanced_accuracy, mcc, f1"
random_forest,tree,binary,female,binary / female,155,39,2026-07-15T20:13:06.662892+00:00,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 200}",25,results\random_forest__tree__binary__female,False,0.8205128205128205,0.046773081188108016,0.7155172413793103,0.0776862966071192,0.7142857142857143,0.1449683990899185,0.5,0.14966629547095767,0.5882352941176471,0.14760003765731378,0.5319148936170213,0.15043144214401802,0.8482758620689655,0.07572897151456677,0.49044126607370664,0.152116760357394,,,,,,,,,0.7452206330368534,1.0,0.5,1.0,"balanced_accuracy, mcc, f1"
random_forest,tree,binary,male,binary / male,581,145,2026-07-15T20:13:14.893750+00:00,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 200}",25,results\random_forest__tree__binary__male,False,0.8206896551724138,0.03099176365659013,0.7867104183757178,0.0354375559333939,0.8235294117647058,0.030756211857046425,0.9130434782608695,0.03371765545492197,0.865979381443299,0.023939779606858565,0.8936170212765957,0.027846703061487385,0.8568498769483183,0.02612612731559895,0.6046039844486432,0.06864125542858622,,,,,,,,,0.8023019922243215,1.0,0.5,1.0,"balanced_accuracy, mcc, f1"
catboost,tree,severity,all,severity / all,736,184,2026-07-15T21:56:54.794941+00:00,"{""depth"": 4, ""iterations"": 200, ""l2_leaf_reg"": 5, ""learning_rate"": 0.05}",25,results\catboost__tree__severity__all,False,0.5760869565217391,0.028736722189146115,0.3435372671336776,0.028670257992154148,0.3656665085388994,0.04536144499932358,0.3435372671336776,0.028670257992154148,0.3385748665748666,0.03371876939647049,0.3396553784904036,0.030381702422297315,0.8049273969135562,0.021690297421215296,0.36151539961797774,0.04194103422063,,,,,,,,,0.6807576998089888,2.0,1.0,1.0,"balanced_accuracy, mcc, f1"
lightgbm,tree,severity,all,severity / all,736,184,2026-07-15T21:56:55.480410+00:00,"{""learning_rate"": 0.01, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 31}",25,results\lightgbm__tree__severity__all,False,0.5380434782608695,0.034887117220764166,0.3399132450444001,0.038127942653914795,0.3370700679072229,0.08237070522675935,0.3399132450444001,0.038127942653914795,0.3345118538382371,0.04659057998236881,0.33705979404904135,0.0407116612763627,0.7821630542262143,0.0314100153131306,0.30786419537190607,0.05172719441293777,,,,,,,,,0.6539320976859531,5.0,0.6156977739162983,3.0,"balanced_accuracy, mcc, f1"
